"old_url","new_path","type"
"https://www.paulcee.co.uk/blog/?how-to-fit-tele-knox-handle","/blog/how-to-fit-tele-knox-handle/","post"
"https://www.paulcee.co.uk/blog/?minelab-vanquish-beginner-tutorials","/blog/minelab-vanquish-beginner-tutorials/","post"
"https://www.paulcee.co.uk/blog/?minelab-vanquish-dig-less-iron","/blog/minelab-vanquish-dig-less-iron/","post"
"https://www.paulcee.co.uk/blog/?minelab-metal-detector-training","/blog/minelab-metal-detector-training/","post"
"https://www.paulcee.co.uk/blog/?looking-after-a-metal-detector","/blog/looking-after-a-metal-detector/","post"
"https://www.paulcee.co.uk/blog/?minelab-equinox-600-best-offer","/blog/minelab-equinox-600-best-offer/","post"
"https://www.paulcee.co.uk/blog/?metal-detector-for-kids","/blog/metal-detector-for-kids/","post"
"https://www.paulcee.co.uk/blog/?minelab-vanquish-540-offer","/blog/minelab-vanquish-540-offer/","post"
"https://www.paulcee.co.uk/blog/?how-to-pair-minelab-headphones","/blog/how-to-pair-minelab-headphones/","post"
"https://www.paulcee.co.uk/blog/?minelab-vanquish-straight-shaft","/blog/minelab-vanquish-straight-shaft/","post"
"https://www.paulcee.co.uk/blog/?beach-detecting-tips","/blog/beach-detecting-tips/","post"
"https://www.paulcee.co.uk/blog/?best-places-to-metal-detect","/blog/best-places-to-metal-detect/","post"
"https://www.paulcee.co.uk/blog/?minelab-equinox-best-settings-uk","/blog/minelab-equinox-best-settings-uk/","post"
"https://www.paulcee.co.uk/blog/?electrolysis-coin-cleaning","/blog/electrolysis-coin-cleaning/","post"
"https://www.paulcee.co.uk/blog/?evo-6000-review","/blog/evo-6000-review/","post"
"https://www.paulcee.co.uk/blog/?coiltek-nox-15-inch-coil-review","/blog/coiltek-nox-15-inch-coil-review/","post"
"https://www.paulcee.co.uk/blog/?cheap-metal-detecting-spades","/blog/cheap-metal-detecting-spades/","post"
"https://www.paulcee.co.uk/blog/?amazing-beach-detecting-find","/blog/amazing-beach-detecting-find/","post"
"https://www.paulcee.co.uk/blog/?motley-sandscoop","/blog/motley-sandscoop/","post"
"https://www.paulcee.co.uk/blog/?minelab-equinox-discrimination","/blog/minelab-equinox-discrimination/","post"
"https://www.paulcee.co.uk/blog/?coiltek-nox-coil-review","/blog/coiltek-nox-coil-review/","post"
"https://www.paulcee.co.uk/blog/?which-beginner-metal-detector-is-best","/blog/which-beginner-metal-detector-is-best/","post"
"https://www.paulcee.co.uk/blog/?coiltek-nox-10-inch-coil","/blog/coiltek-nox-10-inch-coil/","post"
"https://www.paulcee.co.uk/blog/?beach-metal-detecting-tips-uk","/blog/beach-metal-detecting-tips-uk/","post"
"https://www.paulcee.co.uk/blog/?emiter-sandscoops","/blog/emiter-sandscoops/","post"
"https://www.paulcee.co.uk/blog/?minelab-pro-find-user-guide","/blog/minelab-pro-find-user-guide/","post"
"https://www.paulcee.co.uk/blog/?metal-detectors-used-in-the-grand-tour","/blog/metal-detectors-used-in-the-grand-tour/","post"
"https://www.paulcee.co.uk/blog/?new-minelab-vanquish-battery","/blog/new-minelab-vanquish-battery/","post"
"https://www.paulcee.co.uk/blog/?why-minelab-equinox","/blog/why-minelab-equinox/","post"
"https://www.paulcee.co.uk/blog/?minelab-vanquish-iron-volume","/blog/minelab-vanquish-iron-volume/","post"
"https://www.paulcee.co.uk/blog/?minelab-vanquish-software-update","/blog/minelab-vanquish-software-update/","post"
"https://www.paulcee.co.uk/blog/?minelab-equinox-update-latest","/blog/minelab-equinox-update-latest/","post"
"https://www.paulcee.co.uk/blog/?minelab-vanquish-headphones-loud","/blog/minelab-vanquish-headphones-loud/","post"
"https://www.paulcee.co.uk/blog/?minelab-equinox-v3-update-2020-4khz-added","/blog/minelab-equinox-v3-update-2020-4khz-added/","post"
"https://www.paulcee.co.uk/blog/?minelab-vanquish-headphones","/blog/minelab-vanquish-headphones/","post"
"https://www.paulcee.co.uk/blog/?anderson-neptune-2-part-carbon-sandscoop-shaft-uk","/blog/anderson-neptune-2-part-carbon-sandscoop-shaft-uk/","post"
"https://www.paulcee.co.uk/blog/?minelab-vanquish-faint-signals","/blog/minelab-vanquish-faint-signals/","post"
